Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo,W.P
1476,NO,92.5,118,44.8,53.4,19.9,14.8,29.9,30.2,31.1,30.6,42.3,53.2,34.2,35.9,-21.9,2016,NO,SMALL,68.4,0.021298201
1477,NO,94.6,109.7,45.4,51,18.8,19.1,29.8,34.6,32.2,47.4,45.2,49.3,30.5,36.2,-17.5,2013,NO,SMALL,62.5,0.063130045
1478,YES,107.9,102.9,52.7,51,16.6,17.3,27.9,24.6,34.3,28.8,51.7,46.6,36.3,38.9,-9.8,2016,NO,LARGE,70,0.228076321
1479,NO,106.1,116.8,49.3,57,16.5,19.5,29,32.1,37.1,39.7,50.8,58.3,31.6,36.5,-15.8,2014,NO,SMALL,65.6,0.209570026
1480,NO,95.1,110.7,46.9,55.3,16.7,21,19.2,36.6,28.2,46.7,44.5,55.5,33.4,36.7,-18.9,2013,NO,SMALL,62.8,0.099565616
1481,YES,98.4,92.9,48.2,45.5,17.3,19.1,25.1,29.9,27.7,30.6,48.8,46.1,31.7,29.6,-8.1,2019,NO,LARGE,67.5,0.475247562
1482,NO,98,110.8,45.8,51.2,17.2,18.3,31.4,30,31.7,45,43.6,51.6,33.3,33.7,-13.1,2016,NO,SMALL,69.8,0.352857999
1483,YES,106.5,96.2,48.2,48.2,19.8,18.4,37.3,31.3,33.8,32.3,47,47,34.3,34.2,-3,2013,NO,LARGE,65.7,0.446781093
1484,NO,86.1,111.8,43.5,48.9,22.3,20.6,29.5,29.6,42.7,36.9,41.3,49,31.7,32.5,-13.2,2021,NO,SMALL,70.1,0.161621226
1485,YES,111.2,106.9,56.3,50.5,17.5,17.6,24.2,29.9,35.5,31.9,54.8,49.1,38.9,35.3,-5.5,2015,NO,LARGE,64.4,0.522965158
1486,YES,104.6,87.6,50.1,43.5,20,23.4,31,30.6,35.7,36.6,53.1,43.8,30.5,28.5,1.1,2019,YES,LARGE,69.7,0.742133388
1487,YES,112.4,92.9,51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,52.1,49.7,33.5,31.5,3.8,2021,YES,LARGE,66.6,0.586012727
1488,YES,99.1,101.6,50,45.9,21.8,18.1,35.5,27.2,32.2,29.8,48.7,45.3,34.6,31,-5.3,2021,NO,MEDIUM,70.7,0.78570316
1489,YES,111.8,96.6,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,0,2015,NO,LARGE,66.8,0.539109723
1490,NO,109,99,49.5,51,17.8,19,29.4,27.7,29.1,37,47.1,48.9,35.4,36.2,-4.2,2018,NO,LARGE,65.5,0.431130475
1491,YES,104.9,101.9,54.1,52.4,16,22.6,24.4,27.3,34.9,31.2,51.8,51.5,39,35.8,-3.5,2017,NO,MEDIUM,69.5,0.585578414
1492,YES,105.8,103.9,47.7,51.6,19,20.6,35.5,27.7,46.7,33.5,45.2,52.3,35,33.7,-7.7,2013,NO,MEDIUM,65.2,0.339646728
1493,YES,110.5,101.1,51.3,48,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,-1.2,2016,NO,LARGE,69.2,0.700763862
1494,YES,98.3,101.5,48.4,49.8,19.5,20.3,26.9,27.7,41.2,27.3,50.3,50.6,30.2,32.4,-7.8,2020,NO,MEDIUM,67.2,0.489851097
1495,NO,90.4,111.5,42.2,49.9,22.8,18.6,35.6,37.5,27.3,36.4,42.5,49.4,27.5,33.9,-19.3,2013,NO,SMALL,65.5,0.016144896
1496,YES,109.7,97.5,53,52.4,15,21.3,19.5,27.9,30.8,28.9,53.9,54.8,34.3,32.2,-1.4,2021,NO,LARGE,69.3,0.645610061
1497,NO,94.5,122.4,46.5,57.4,21.9,18.3,30.6,36.1,40.5,40.5,45.3,57.7,32.5,37.9,-19.3,2014,NO,SMALL,68.4,0.00122153
1498,NO,101.3,111,49.5,51.8,18.9,19.4,27.4,34.2,36.1,44,49.8,51.9,32.7,34.4,-13.9,2017,NO,SMALL,70.6,0.366799488
1499,YES,108.8,93.5,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,0.4,2016,YES,LARGE,64.1,0.568657857
1500,NO,99,97,47.9,46.7,20.2,18.6,33.3,26.1,38.4,32.8,48.6,46.4,30.8,31.4,-8.3,2015,NO,MEDIUM,62.8,0.427010263
1501,YES,101.5,102.3,51.2,51,16.6,24.3,26.8,30.2,25.6,32.2,49.6,51.8,35.8,33,-3.8,2021,NO,MEDIUM,75.1,0.737455559
1502,NO,101.9,110.6,48.8,50.3,19.4,17.2,32.7,31.2,35.3,44.1,45.5,48.9,36.8,35.1,-12.9,2016,NO,SMALL,67.1,0.18797761
1503,YES,106.7,101.2,49.8,47.5,18.4,16.8,30.2,33.8,50.1,39,50,47.7,32.9,31.4,-2.6,2014,NO,LARGE,68.2,0.364725405
1504,NO,104.3,107.9,48.7,53.1,19.9,18.6,31.6,33,36.2,37.7,47,51.3,35.1,37.9,-10.5,2017,NO,MEDIUM,71.1,0.447247164
1505,YES,101.3,105.3,49.9,49,18.7,17.7,30.3,25.9,39.9,43,47,46.6,36.4,34.7,-9.3,2017,NO,MEDIUM,67.6,0.600366242
1506,NO,100.5,109.9,45.3,51.8,17.7,13.5,29.6,28,42.2,31.9,43.7,51.4,32.5,34.8,-15.3,2016,NO,SMALL,68.1,0.169315355
1507,NO,101.1,107.4,49.3,51.9,16.9,18.7,28.8,23.7,36.6,44.8,48,50.9,34.1,35.6,-8.9,2016,NO,MEDIUM,67.8,0.359115551
1508,NO,98.8,106.1,50.6,48.3,22.1,18.6,31,38.1,29.7,36.5,50.2,47,34.2,34.9,-12.1,2013,NO,MEDIUM,66.4,0.349574377
1509,YES,110.5,93.4,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,1.2,2016,YES,LARGE,66.9,0.655916565
1510,YES,114.5,93.2,52.9,43.1,16.8,14.2,27.2,29.3,39.8,34.4,50.1,42.6,38.2,29.4,-0.3,2016,NO,LARGE,68.7,0.472364127
1511,YES,102.7,101.2,48.9,47.9,16.8,14.4,29,24.4,31.7,31.8,44.6,46.5,39,33.9,-7.9,2014,NO,MEDIUM,64.7,0.39225828
1512,NO,101.4,112.2,53.3,52,19.3,14.7,21,27.2,28.8,26,51.4,52.2,37.4,34.4,-16.8,2018,NO,SMALL,69.4,0.292026208
1513,YES,110.3,93.3,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,4.1,2015,YES,LARGE,68.6,0.595490988
1514,YES,113.6,90.6,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,9,2015,YES,LARGE,67.2,0.629018325
1515,NO,96.6,99.4,49.8,49.3,18.9,16.8,21.2,20.9,27.4,29.7,51.6,49.6,31.3,32.5,-11.6,2020,NO,MEDIUM,65.5,0.272265823
1516,YES,117.1,94,50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,50.1,45.5,35.1,32.6,4.1,2014,YES,LARGE,63.8,0.546911209
1517,YES,105.3,101.4,49.8,45.8,17.8,18.2,33.6,32.7,37.1,39.5,46.7,44.8,36.6,32.1,-4.7,2015,NO,LARGE,62,0.548571516
1518,YES,107.8,104.2,54.4,51.2,18.5,14.2,29,25.5,38.3,27.2,54.6,52.3,36.1,32.3,-9.6,2017,NO,MEDIUM,68.1,0.515572414
1519,YES,102.6,97,48.9,46.8,16.6,14.3,26,25.1,30.3,38.8,47,45.6,35.9,33.4,-3.4,2015,NO,LARGE,66.1,0.382448013
1520,NO,90.3,105.1,44.5,50.6,20.3,18.2,22,29.9,29.5,36.5,42.9,49.1,31.5,35.7,-15.8,2021,NO,SMALL,66.9,0.06068895
1521,NO,92.7,104.7,49.7,48,18.9,14.2,23.7,27.6,22.8,33.8,50.2,49.1,32.7,30.1,-10.3,2021,NO,SMALL,68.6,0.323494393
1522,YES,110.7,107.9,51.2,50.1,18.9,16.4,31.6,34,38.2,34.6,49.5,49,36.7,34.9,-4.5,2014,NO,MEDIUM,67.3,0.505666402
1523,NO,88.1,102.4,41.1,48.7,20.2,19,33.3,31.9,36.7,34.2,40.1,48.1,28.9,33.5,-14.4,2013,NO,SMALL,67.2,0.047900003
1524,NO,91.8,96.7,44,47.6,19.9,23.1,29,31.8,36.5,36.6,42.8,48.6,31.1,30.5,-11.8,2015,NO,MEDIUM,61.7,0.223238452
1525,YES,105.5,102.7,52.6,51.5,18.7,17.8,29,27,28.1,29.4,52.4,50.9,35.2,35.1,-7,2018,NO,MEDIUM,72,0.417075438
1526,NO,103.5,96.7,51.3,46.7,23.8,19.4,31,32.8,34.5,39.1,48.6,44.6,36.7,34,-5.6,2013,NO,LARGE,65.1,0.392748116
1527,YES,104.4,102.8,52.2,50.5,18.7,19.9,25.9,29,32.4,34.1,51.5,50.9,35.7,33.3,-5.3,2018,NO,MEDIUM,67.9,0.545399288
1528,YES,103.5,92.5,48.1,45.3,18.7,16.6,32.9,24,37.7,34.1,46.6,43.4,34,32.8,-0.9,2017,NO,LARGE,67,0.591329881
1529,NO,103,114.6,51.3,55.8,18,15.7,24.9,30.7,27.3,28.2,50,54.7,35.8,38.4,-13.9,2018,NO,SMALL,71.7,0.239092872
1530,YES,111.1,96.1,50,47.1,17.9,18.7,35.3,27.4,43.8,33.9,53.3,46.2,30.6,32.5,4.6,2020,YES,LARGE,69.3,0.65192694
1531,NO,95.2,103.5,49.4,53.5,20.3,18.1,28.4,23.8,24.5,29.5,50.7,54,31.9,35.2,-13.5,2020,NO,SMALL,67.9,0.434433303
1532,YES,104.6,99.5,49.4,48,15.9,18.6,25.4,28.9,42.7,31.9,49.1,48.9,33.2,31.1,-2,2017,NO,LARGE,65.7,0.582090413
1533,NO,83.6,116,41.3,53.5,21.8,18.5,26.8,35.5,37.8,34.9,40.9,54,28.3,35.1,-23.2,2015,NO,SMALL,66.3,0.054314344
1534,YES,104.8,94.1,49.7,48.1,17.8,24.5,27.5,30.1,33,35.9,48.4,46.8,34.6,33.7,-3.6,2020,NO,LARGE,69.2,0.404381224
1535,YES,103.3,102.5,49.3,48.9,17.6,19.2,33.3,32.8,40.2,31.9,48.3,46.3,34.2,35.2,-9.5,2015,NO,MEDIUM,61.1,0.368587241
1536,NO,85.6,104.4,44,53,24.7,24.8,30,33.7,34.2,50.5,46.2,51.9,25.2,37.1,-16.3,2015,NO,SMALL,65.4,0.215508551
1537,YES,105.8,103.2,55.3,49.9,19.5,18.9,31.3,26.7,33.4,35.1,54.9,49.2,37.3,34,-6.4,2018,NO,MEDIUM,72.2,0.705295469
1538,NO,104.1,105.8,47.5,51.1,18.5,18.3,29.4,32.7,32.4,33.9,46.6,48.5,32.6,36.4,-7,2018,NO,MEDIUM,68.1,0.329540385
1539,NO,95.4,107.3,46.1,52.3,19.9,20,29.4,29.9,29.2,37.4,45,53,31.7,34.1,-16.5,2020,NO,SMALL,69.3,0.194227447
1540,YES,104.5,103.2,46.9,48.4,17.9,17.7,38.3,27.3,45.1,41,46.3,46.2,32.1,35.2,-6.2,2016,NO,MEDIUM,66.6,0.570375217
1541,YES,105.2,101.4,50.3,46.9,18.9,20.8,30.9,32.9,31.3,47,48.3,48,35.8,29.9,-6.6,2020,NO,LARGE,72.9,0.576890071
1542,NO,113.2,105.2,54.1,50.6,19.5,15.2,30.7,32,50.9,36.8,52.3,48.5,39.2,36.8,-3.7,2014,NO,LARGE,67.3,0.471890612
1543,YES,118.4,102.5,56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,54.6,49,40.3,36.3,3.3,2017,YES,LARGE,70,0.626527296
1544,NO,92.6,106.1,43,51.1,18.5,19.2,28.7,34.5,37.6,39,42.3,50,29.5,35.7,-14.1,2015,NO,SMALL,63.8,0.335174808
1545,NO,91.7,112,48.5,54.3,24,17.1,22,29.7,29.6,35.8,47.4,52.6,34.1,38.1,-17.8,2021,NO,SMALL,67.2,0.006222716
1546,YES,106,106,51.3,48.7,18.3,17.9,33.4,31.4,39.4,33.7,50.3,49.2,35.9,31.8,-7.5,2013,NO,MEDIUM,70.4,0.488349648
1547,YES,103.5,102.9,50.7,51.8,18.1,20,26.1,27.4,26.8,31.7,50.4,50.3,34,36.5,-7.5,2020,NO,MEDIUM,69.3,0.559975829
1548,YES,115.4,93,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,5.3,2015,YES,LARGE,58.5,0.850789578
1549,YES,98.2,91.1,46.6,44.7,19.1,23.7,28.5,32.8,36.8,44.3,46,44.4,32,30,-4,2015,NO,LARGE,60.9,0.35432542
1550,YES,106.2,103.2,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,55.6,49.3,37.8,34.4,-3.2,2019,NO,MEDIUM,68,0.727419684
1551,YES,98.4,98.3,47.9,48.2,20.7,18.1,29,25.4,28.6,31.4,47,48.7,32.6,31.6,-9,2019,NO,MEDIUM,68.7,0.458794889
1552,NO,99.4,109.8,48.6,49.9,17.4,16.6,22.9,31,34.5,37.7,46.3,50.3,34.6,32.6,-12.2,2016,NO,SMALL,75.3,0.019818758
1553,YES,103,107,49.3,52.2,20,19.8,36.2,27.4,42.3,35.7,48.8,52.3,33.6,34.6,-9,2019,NO,MEDIUM,69.7,0.616577237
1554,NO,100.6,108.3,46.3,53.7,21.5,18,33.5,34.1,36.2,35.5,43.8,50.5,35.1,39.2,-12.9,2015,NO,MEDIUM,62.9,0.133719288
1555,NO,89,112.6,45.7,52.7,24.1,18.2,30.1,31.5,30.5,36.5,45,55.3,31.3,32.1,-16.7,2019,NO,SMALL,67.1,0.227866789
1556,YES,114,98.6,53.8,51,15.3,19.2,30,28.8,29.9,26.6,52.4,49.8,37.6,35.2,-0.4,2018,NO,LARGE,69,0.578134349
1557,NO,100.6,110.4,52.6,53.3,21.4,19.9,29.6,35.1,49.3,34.9,53.5,52.7,33.5,36.2,-13.8,2014,NO,SMALL,70.9,0.349081544
1558,YES,97.6,102.8,49.6,53.2,21.3,21.3,31.7,22.2,36.2,34,50.2,51.8,32.3,36.8,-8.1,2018,NO,MEDIUM,66.8,0.5654277
1559,YES,111.8,99.8,54.8,48.5,18.6,15.6,28.9,22.5,27.6,25.8,52.6,47.2,38.6,33.7,0.9,2020,YES,LARGE,65.7,0.81838172
1560,NO,101.5,111.9,49.9,51,20.5,15.1,38,29.9,34.5,38.1,48.4,50,35.7,35,-16.7,2014,NO,SMALL,64.6,0.218871245
1561,NO,86.2,109.7,43.3,49.2,20.5,17.9,22.3,31.9,27.1,37.6,41,48.3,30.5,33.7,-20.9,2018,NO,SMALL,68.7,0.066666298
1562,YES,101,105.6,51.4,52.5,17.4,18.8,24.4,27.1,30.9,36.8,51.8,49,33.9,39.3,-10.5,2018,NO,MEDIUM,71.6,0.478591823
1563,YES,115.2,92.5,53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,53.8,43,35.6,35.3,8.3,2014,YES,LARGE,67.6,0.790097045
1564,NO,93.2,102.1,47.4,50.5,20.9,22.3,31.2,31.2,34.3,36.2,45.9,51.1,33.2,32.8,-11.8,2018,NO,SMALL,70.6,0.406150185
1565,YES,121.2,98.9,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,4.2,2016,YES,LARGE,68.7,0.689310876
1566,NO,102,106,47.5,54.5,17.7,21.1,27.5,28.9,33.7,29.2,47.7,52.1,31.4,38.9,-11,2020,NO,MEDIUM,73.6,0.475236627
1567,YES,108.3,98.6,52.1,48.4,15.7,19.9,29.4,27.1,35.7,29.7,51.9,47.1,35,33.7,-1.8,2018,NO,LARGE,71.7,0.824437745
1568,YES,102.4,105.5,50.2,52.6,19.6,19.6,34.3,27.8,35.2,33.2,50.5,50.7,33,37,-10.4,2019,NO,MEDIUM,70.4,0.435748975
1569,NO,97.6,111,48.7,53.2,17.7,20.9,26.2,31.9,30.4,45.1,46.4,54.1,34.6,34.1,-14.6,2018,NO,SMALL,70.3,0.403570752
1570,YES,104,103.2,51.1,49.4,17.1,16.3,26.5,27.3,29.6,41.6,49.3,47.8,35.5,34.7,-7.1,2018,NO,MEDIUM,73,0.562991921
1571,NO,92.8,110,48.9,54.9,23.2,22.2,30.2,32.9,34.6,50.5,48.8,54.8,32.6,36.7,-19.1,2019,NO,SMALL,67.5,0.20186321
1572,YES,105.4,110,50.8,52.1,16.9,17.9,31.8,29.6,34.9,38.5,48.5,51,36.1,35.9,-12,2017,NO,MEDIUM,70,0.428369074
1573,YES,103.7,104.6,51,47.2,19.6,15.5,29.7,27.9,34.5,41,47.4,44.8,37.2,34.5,-7.4,2018,NO,MEDIUM,68.5,0.51851141
1574,NO,97,106.3,49.6,52.1,19.9,18.2,28.3,27.4,30.5,28.8,51,50.3,31.2,37,-14.3,2019,NO,SMALL,72.5,0.396567154
1575,YES,101.6,102.5,51.6,48.2,20.7,18.2,26,28.9,45.6,35.2,52,45,33.8,36.4,-5.5,2018,NO,MEDIUM,70.7,0.654104176
1576,NO,96.2,107.7,46.7,51.8,23.2,18.6,35.7,32,44.6,44.9,46.5,52.6,31.5,33.8,-12.4,2013,NO,SMALL,70.7,0.291352109
1577,YES,116.4,93.9,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45,35.3,32.2,7.9,2017,YES,LARGE,65.1,0.696550613
1578,NO,90.1,108.7,46.3,51.2,23.5,24.9,30.5,39.5,35.6,48.8,44.2,48.8,33.3,36.9,-15.1,2015,NO,SMALL,64.1,0.347450843
1579,NO,100.4,107.1,52.3,53,18.9,19.3,24.3,26.6,32.2,35.9,50.8,52.6,36.3,35.5,-15.1,2019,NO,MEDIUM,65.9,0.081375847
1580,NO,100.1,104.8,46.1,51.5,18.6,17.6,28,28.1,39.3,34.1,45.3,49.1,32,37.2,-10.6,2016,NO,MEDIUM,69.8,0.355597463
1581,YES,99,102,49.1,49.1,19.6,19.1,30.6,24,40.8,30.3,49.6,49.5,32.1,32.5,-7.5,2020,NO,MEDIUM,70.9,0.545292607
1582,YES,107.6,99.8,52,49.5,18,21.7,32.7,31.7,30.5,30.6,48.7,48.6,37.9,33.8,-6.3,2018,NO,LARGE,65.4,0.519488028
1583,NO,105.9,99,48.4,48.9,19.9,16.9,34.4,27.9,40.8,33.9,47.7,46.5,33.5,35.3,-5.6,2015,NO,LARGE,65.1,0.411175308
1584,YES,104,97.4,49,50.9,16.7,20.3,28.4,25.9,33.3,35,48.1,51.9,33.6,32.9,-4.2,2019,NO,LARGE,68.3,0.445429556
1585,NO,102.2,109.2,49.2,53.5,15.5,16.9,26,29.4,27.3,31.9,48.8,53.2,33.3,36.2,-12.6,2021,NO,MEDIUM,66.5,0.301301314
1586,YES,96.4,93.3,47.4,48.1,19.5,21.6,30.4,26.9,32.8,43.1,45.6,48.2,34,32,-7.3,2016,NO,MEDIUM,65,0.479012353
1587,NO,96,107.8,49.8,52.5,20.1,19,27.5,30.8,35.9,42.4,46.5,52.7,36,34.7,-17.5,2015,NO,SMALL,61.8,0.202961469
1588,YES,102.7,96,53,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,-3.2,2021,NO,LARGE,65.4,0.70291986
1589,YES,103.5,104.7,48.7,52.9,15.7,19.6,31.2,28.2,33.3,38.6,44.8,52.2,37.1,36.3,-7.3,2013,NO,MEDIUM,59.8,0.525911975
1590,YES,103.8,101.3,53.3,49.2,21,20.2,28.7,32.1,33.3,30.2,50.6,50.1,39.3,31.8,-4.7,2015,NO,MEDIUM,61.4,0.599507702
1591,NO,99.7,102.5,47.2,51.3,20.2,19.8,28.9,28.9,28.5,41.3,45.3,51.2,33.1,34.2,-13.3,2019,NO,MEDIUM,70.6,0.161093455
1592,YES,114.9,99.1,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27,48.4,48.2,37.1,33,-0.8,2016,NO,LARGE,67.2,0.539775453
1593,NO,95,111.4,46.5,52.3,18.6,23.2,27.6,40.4,34.2,51.8,45.5,52.5,32.1,34.7,-16.4,2015,NO,SMALL,67.5,0.150456503
1594,NO,95.6,106.9,47.5,48.4,20.7,24.3,32.1,40.1,30.9,51.2,46.7,50.1,33.1,29.8,-12.3,2015,NO,SMALL,69,0.361708448
1595,NO,88.6,112.9,44.8,51.6,21.1,19.9,27.2,38.8,29.1,41.3,42.4,52.8,32.4,33.3,-20,2016,NO,SMALL,67.1,0.021474402
1596,NO,92.2,108.9,44.9,55.3,22,19,27,29.5,42.6,37,44.5,52.6,30.5,39.4,-19.2,2018,NO,SMALL,70.2,0.065128048
1597,NO,94.9,104.9,49.9,51.9,21.7,19.7,27.6,23.6,40.5,38.9,48,50.6,35.2,36.2,-12.9,2021,NO,SMALL,68.6,0.388000435
1598,YES,106.9,95,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,0.8,2016,YES,LARGE,71.4,0.738111521
1599,NO,106.9,99.4,49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,50.4,49.2,31.6,33.4,-6.2,2016,NO,LARGE,72.4,0.311398851
1600,YES,105,103.2,48,50.6,18.6,21.4,38.6,29,35.3,53.7,45.8,49,36.2,35.7,-6.4,2016,NO,MEDIUM,66.3,0.511746349
1601,NO,109.7,99.1,49.6,52.2,18.4,21.8,29.1,31.9,29.5,42.4,48.2,53.6,34.5,33,-5.5,2019,NO,LARGE,71.9,0.314378663
1602,NO,95.6,102.9,49.3,50.2,21.1,14.3,23.5,29.4,24.2,26.2,49,51.5,33.2,32,-11.5,2021,NO,SMALL,66.4,0.169240515
1603,NO,96.8,104,48.8,48.1,18,16.8,26.1,32.4,32.7,31.1,46.5,46.7,35.9,34,-11.5,2014,NO,MEDIUM,66.2,0.434193975
1604,YES,97.6,101.6,48,50.9,20.2,22.6,28.9,32.5,34.9,27.6,47.1,49.9,33.3,35,-10.2,2020,NO,MEDIUM,69.4,0.509979387
1605,YES,105.3,101.3,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,50.9,45.9,37.9,32.1,-1.8,2017,NO,LARGE,72.3,0.729534256
1606,NO,99.1,101.8,49.9,51.5,21,19.4,25.2,27.3,25.2,31,47,51.5,35.9,34.4,-13.7,2020,NO,MEDIUM,68.4,0.270338279
1607,NO,99.6,105.8,47.2,53.2,17,21.6,29.6,29.7,34.9,41.3,45.4,51.7,33.7,37.5,-11.3,2015,NO,MEDIUM,64,0.362728187
1608,NO,93.5,105.9,46,52.3,20.1,20,26.4,28.7,30.8,27.4,45.7,49.1,31.2,38.7,-13.9,2021,NO,SMALL,68.1,0.02610344
1609,NO,96.9,111.2,48.6,52.9,18.8,21.7,24.7,35,35.4,49.5,46.4,52.2,34.9,36.2,-13.9,2017,NO,SMALL,69.7,0.262941305
1610,NO,98.9,106.7,48.9,52.4,21.6,18.2,29.9,28.6,35.4,42.1,47.7,51.8,33.6,35.7,-15.8,2015,NO,SMALL,64,0.127492868
1611,YES,103.5,99.9,47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,50,48.8,28,32.3,-6.8,2019,NO,LARGE,68.9,0.489376596
1612,YES,118.8,87.6,53.5,43.9,15.3,25,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,5.3,2014,YES,LARGE,68.8,0.726849674
1613,YES,109.2,98.9,52.5,49.1,18.6,22.8,27,35.8,43.2,43,49.4,48.4,37.8,33.9,-4,2013,NO,LARGE,64,0.510759677
1614,YES,101.8,99.2,48.6,46.7,20.6,20.6,34.3,28.8,44.8,33.8,48.7,45.3,32.2,32.7,-6,2013,NO,MEDIUM,62.3,0.534379256
1615,YES,104.3,103.9,49.1,49.1,19.9,18.5,28.6,31.2,44.7,36.5,49.1,50.4,32.7,31,-6.1,2014,NO,MEDIUM,67.8,0.438804941
1616,YES,104.7,94.4,46.9,47.4,16.4,20.9,30.4,28.6,37.1,28.5,46.7,49.1,31.5,29.7,0.5,2020,YES,LARGE,71.2,0.629437723
1617,NO,100.2,108.6,49.6,49.2,19.4,18.4,33.9,32.7,35.9,33.6,50.3,47.7,32,34.7,-13.1,2015,NO,SMALL,69.1,0.357460937
1618,NO,98.7,106.1,51.2,48.4,21,16.3,27,26.6,37.2,39.5,50.8,48.9,34.6,31.6,-8.6,2021,NO,MEDIUM,69.5,0.140073853
1619,NO,96.5,115.3,49,55.3,18.8,17.8,24.9,30,28,29.3,46.8,55.5,34.6,36.7,-16.2,2018,NO,SMALL,64.6,0.374638477
1620,NO,97.3,117.8,47.2,56.4,20.8,20.4,31.6,30.2,39.7,40,46.5,57.1,32.4,36.9,-20.2,2019,NO,SMALL,68.3,0.23345516
1621,NO,93,110.9,48.6,55.3,22.2,19.1,25.9,27.2,25.6,38.6,49.9,52.7,31,38.7,-20.9,2019,NO,SMALL,65.3,0.024457881
1622,YES,113.5,98.6,50.5,48.3,16.5,20.3,29.6,32.2,35.7,30.2,51.4,48.3,32.9,32.2,-2.7,2020,NO,LARGE,68,0.458662094
1623,YES,98.1,98.1,51.6,48.3,19.5,17.2,20.2,26.3,26,29.3,50.4,48.3,35.4,32.3,-4.4,2021,NO,MEDIUM,67.3,0.433939176
1624,NO,97.1,105.5,46.8,52.1,20.7,16.6,31.8,25.5,30.5,29.7,46.4,53.2,31.7,33.8,-13.5,2019,NO,SMALL,68.2,0.288418607
1625,NO,90.2,111,43,51,18.5,19.4,27.1,34.6,31.3,35.2,42,54.5,30.3,30.3,-21.6,2016,NO,SMALL,72.2,0.047697674
1626,NO,100,109.5,52.7,50.9,19.1,17.8,25.7,29.8,42.5,32.4,55.2,52.1,32.3,32.6,-12.7,2020,NO,SMALL,70.8,0.273869692
1627,YES,113.6,95.3,53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,5.5,2019,YES,LARGE,74.9,0.861998306
1628,YES,114.2,97.6,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,52.3,49.2,32.7,31.1,3.4,2016,YES,LARGE,70.9,0.646452723
1629,NO,93.7,102.7,46,48.1,19.3,18.4,27.5,32.2,32.4,47.4,43.2,45.4,34.3,35.8,-17.1,2015,NO,SMALL,61.6,0.166372878
1630,NO,104.6,104,49.8,49.7,19.4,15.4,30.5,26.5,29.5,28.2,49,46.3,33.7,36.3,-11,2020,NO,MEDIUM,64.2,0.27947813
1631,NO,90.5,106.3,47.4,49.5,20.8,22,27,35.8,39.4,35.9,44.9,48.6,34.9,34.8,-12.5,2013,NO,SMALL,64.1,0.350123733
1632,YES,112.4,103.6,54.9,49.5,15.9,15.3,25.8,27.2,36.6,27.9,54.8,49.4,36.7,33.1,-3.8,2016,NO,LARGE,69.2,0.610027852
1633,YES,116.6,93.1,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,5.6,2017,YES,LARGE,70.4,0.641157248
1634,NO,101.9,98.3,46.7,47.3,19.5,16,25.9,28.1,38.9,31.7,43.8,44.8,34.2,34.3,-6.1,2021,NO,LARGE,68.3,0.247392505
1635,YES,110.9,97.1,56.2,52.8,18.6,19.1,24.7,26.8,29,27.9,55.7,52.9,37.9,35,-2.3,2019,NO,LARGE,70.1,0.518707443
1636,YES,97.4,93.5,47.8,45.7,20.7,18.9,28.5,28.6,43.1,26.2,47.1,43.7,32.9,33.1,-3.4,2018,NO,LARGE,65.8,0.396805696
1637,NO,98.9,104.9,49.5,50.9,20.5,17.8,26.4,30.2,37.1,43.9,49.6,51.1,32.9,33.7,-10.7,2014,NO,MEDIUM,65.5,0.291675604
